t_years,Nx,Ny,Nz

0,100,-0,0
1,70.7106781186547,28.628171372803,0.66115050854226
2,50,47.6576049376767,2.34239506232328
3,35.3553390593274,59.9511645249573,4.69349641571537
4,25,67.5310188861388,7.46898111386118
5,17.6776695296637,71.8249680774846,10.4973623928517
6,12.5,73.8406185947395,13.6593814052605
7,8.83883476483185,74.288540036735,16.8726251984332
8,6.25,73.6693464213197,20.0806535786803
9,4.41941738241592,72.3352685307757,23.2453140868084
10,3.125,70.5336888372006,26.3413111627994
11,2.20970869120796,68.4379221856757,29.3523691231163
12,1.5625,66.1689780001555,32.2685219998445
13,1.10485434560398,63.8109455911207,35.0842000632753
14,0.78125,61.4218704380147,37.7968795619853
15,0.55242717280199,59.0414422269357,40.4061306002623
16,0.390625,56.6964285714286,42.9129464285714
17,0.276213586400995,54.4045147983174,45.3192716152816
18,0.1953125,52.1770167545526,47.6276707454474
19,0.138106793200498,50.0207968184366,49.8410963883629
20,0.09765625,47.9396165859266,51.9627271640734
21,0.0690533966002488,45.9350913167213,53.9958552866785
22,0.048828125,44.0073628687983,55.9438090062017
23,0.0345266983001244,42.155573657357,57.8098996443429
24,0.0244140625,40.3781999963741,59.5973859411259
25,0.0172633491500622,38.6732860848826,61.3094505659674
26,0.01220703125,37.0386078114574,62.9491851572926
27,0.0086316745750311,35.4717870025852,64.5195813228397
28,0.006103515625,33.9703706965063,66.0235257878687
29,0.00431583728751555,32.531885750434,67.4637984122785
30,0.0030517578125,31.1538760672217,68.8430721749658
31,0.00215791864375777,29.8339275909047,70.1639144904516
32,0.00152587890625,28.5696847098214,71.4287894112723
33,0.00107895932187889,27.3588606378771,72.640060402801
34,0.000762939453125,26.1992435893299,73.799993471217
35,0.000539479660939444,25.0887000285775,74.9107604917616
36,0.0003814697265625,24.0251758989901,75.9744426312834
37,0.000269739830469722,23.0066964680402,76.9930337921293
38,0.00019073486328125,22.0313652374126,77.9684440277242
39,0.000134869915234861,21.0973622335183,78.9025028965665
40,9.5367431640625e-05,20.2029418996938,79.7969627328746
41,6.74349576174305e-05,19.3464307448612,80.6535018201812
42,4.76837158203125e-05,18.5262248564821,81.4737274598021
43,3.37174788087153e-05,17.7407873525026,82.2591789300186
44,2.38418579101562e-05,16.9886458236298,83.0113303345123
45,1.68587394043576e-05,16.268389800822,83.7315933404386
46,1.19209289550781e-05,15.5786682712992,84.4213198077719
47,8.4293697021788e-06,14.9181872582548,85.0818043123755
48,5.96046447753907e-06,14.2857074737549,85.7142865657806
49,4.21468485108941e-06,13.6800420503398,86.3199537349754
50,2.98023223876953e-06,13.100054354087,86.8999426656807
